player_name,team,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_2030_31,guaranteed
Jonathan Kuminga,ATL,23799569.0,24300000.0,,,,,23799569.0
De'Andre Hunter,SAC,23303571.0,24910714.0,,,,,48214285.0
Aaron Gordon,DEN,22841455.0,33658037.0,36350680.0,39043323.0,,,92850172.0
Damian Lillard,MIL,36620603.0,35915403.0,36620603.0,22516603.0,22516603.0,,112583015.0
Kyle Kuzma,MIL,22410605.0,20345152.0,,,,,42755757.0
Kentavious Caldwell-Pope,MEM,21621500.0,21621500.0,,,,,21621500.0
Naz Reid,MIN,21551724.0,23275862.0,25000000.0,26724138.0,28448276.0,,96551724.0
Nikola Vučević,BOS,21481481.0,,,,,,21481481.0
Dillon Brooks,PHO,21124110.0,19992727.0,,,,,41116837.0
Cameron Johnson,DEN,21057065.0,23062500.0,,,,,44119565.0
Norman Powell,MIA,20482758.0,,,,,,20482758.0
Jarrett Allen,CLE,20000000.0,28000000.0,30240000.0,32480000.0,,,110720000.0
Jakob Poeltl,TOR,19500000.0,19500000.0,27300000.0,29484000.0,27300000.0,,95784000.0
Josh Hart,NYK,19472240.0,20923760.0,22375280.0,,,,40396000.0
Bradley Beal,PHO,24737010.0,25004710.0,19383010.0,19383010.0,19383010.0,,96915050.0
Jusuf Nurkić,UTA,19375000.0,,,,,,19375000.0
Harrison Barnes,SAS,19000000.0,,,,,,19000000.0
Collin Sexton,CHI,18975000.0,,,,,,18975000.0
Ivica Zubac,IND,18893980.0,20342140.0,21790300.0,,,,61026420.0
Malik Monk,SAC,18797619.0,20190035.0,21582451.0,,,,38987654.0
Santi Aldama,MEM,18485916.0,17007043.0,17007043.0,,,,35492959.0
Rui Hachimura,LAL,18259259.0,,,,,,18259259.0
Luguentz Dort,OKC,18222222.0,18222222.0,,,,,18222222.0
Alex Caruso,OKC,18102000.0,19550160.0,20998320.0,22446480.0,,,81096960.0
Andrew Nembhard,IND,18102000.0,19550160.0,20998320.0,,,,58650480.0
Zach Collins,CHI,18080496.0,,,,,,18080496.0
Patrick Williams,CHI,18000000.0,18000000.0,18000000.0,18000000.0,,,54000000.0
Kevin Huerter,DET,17991071.0,,,,,,17991071.0
Keldon Johnson,SAS,17500000.0,17500000.0,,,,,35000000.0
Grayson Allen,PHO,16875000.0,18125000.0,19375000.0,,,,35000000.0
Duncan Robinson,DET,16834692.0,15992957.0,15151222.0,,,,16834692.0
Klay Thompson,DAL,16666667.0,17460317.0,,,,,34126984.0
Bogdan Bogdanović,LAC,16020000.0,16020000.0,,,,,16020000.0
Max Strus,CLE,15936452.0,16660836.0,,,,,32597288.0
Terance Mann,BRK,15500000.0,15500000.0,16000000.0,,,,47000000.0
Paolo Banchero,ORL,15334769.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,201254769.0
Nickeil Alexander-Walker,ATL,15161800.0,14403710.0,15161800.0,15919890.0,,,44727310.0
Onyeka Okongwu,ATL,15000000.0,16120000.0,16880000.0,,,,48000000.0
Jonathan Isaac,ORL,15000000.0,14500000.0,14500000.0,15000000.0,,,44000000.0
Isaiah Stewart,DET,15000000.0,15000000.0,15000000.0,,,,30000000.0
Marcus Smart,WAS,19920855.0,5390700.0,,,,,14786855.0
Daniel Gafford,DAL,14386320.0,17263584.0,18126763.0,18989942.0,,,68766609.0
Deni Avdija,POR,14375000.0,13125000.0,11875000.0,,,,39375000.0
P.J. Washington,DAL,14152174.0,19813044.0,21398088.0,22983132.0,24568176.0,,102914614.0
Steven Adams,HOU,14130434.0,13000000.0,11869566.0,,,,39000000.0
Caris LeVert,DET,14104000.0,14809200.0,,,,,28913200.0
Dennis Schröder,CLE,14104000.0,14809200.0,15514400.0,,,,28913200.0
Damian Lillard,POR,36620603.0,35915403.0,36620603.0,22516603.0,22516603.0,,27502800.0
Obi Toppin,IND,14000000.0,15000000.0,16025000.0,,,,45025000.0
Corey Kispert,ATL,13975000.0,13975000.0,13050000.0,13050000.0,,,41000000.0
Herbert Jones,NOP,13937574.0,14898786.0,20858300.0,22526964.0,24195628.0,,72221624.0
Austin Reaves,LAL,13937574.0,14898786.0,,,,,13937574.0
Cooper Flagg,DAL,13825920.0,14517480.0,15208680.0,19178146.0,,,28343400.0
Chet Holmgren,OKC,13731368.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,254431368.0
Josh Green,CHO,13666667.0,14679012.0,,,,,28345679.0
Grant Williams,CHO,13645500.0,14265750.0,,,,,27911250.0
Bobby Portis,MIL,13445754.0,14521414.0,15597074.0,,,,27967168.0
Kelly Olynyk,SAS,13445122.0,,,,,,13445122.0
Victor Wembanyama,SAS,13376880.0,16868246.0,,,,,30245126.0
Robert Williams,POR,13285713.0,,,,,,13285713.0
Zaccharie Risacher,ATL,13197720.0,13826040.0,17434637.0,,,,27023760.0
Mitchell Robinson,NYK,12954546.0,,,,,,12954546.0
Coby White,CHO,12888889.0,,,,,,12888889.0
Dorian Finney-Smith,HOU,12700000.0,13335000.0,13335000.0,13335000.0,,,39370000.0
Brandon Clarke,MEM,12500000.0,12500000.0,,,,,25000000.0
Dylan Harper,SAS,12370320.0,12989040.0,13607760.0,17172994.0,,,25359360.0
Isaiah Joe,OKC,12362338.0,11323006.0,11323006.0,,,,23685344.0
Jabari Smith Jr.,HOU,12350392.0,23643411.0,21751940.0,23643411.0,25534883.0,27426355.0,134350392.0
Donte DiVincenzo,MIN,11990000.0,12535000.0,,,,,24525000.0
Brandon Miller,CHO,11968800.0,15104626.0,,,,,27073426.0
Alex Sarr,WAS,11808240.0,12370680.0,15611798.0,,,,24178920.0
Davion Mitchell,MIA,11600000.0,12400000.0,,,,,24000000.0
Moses Moody,GSW,11574075.0,12500000.0,13425925.0,,,,37500000.0
Jarred Vanderbilt,LAL,11571429.0,12428571.0,13285714.0,,,,24000000.0
Matisse Thybulle,POR,11550000.0,,,,,,11550000.0
Gabe Vincent,ATL,11500000.0,,,,,,11500000.0
Keegan Murray,SAC,11144093.0,24137936.0,26068965.0,27999999.0,29931033.0,31862067.0,151144093.0
VJ Edgecombe,PHI,11108880.0,11663880.0,12219720.0,15445727.0,,,22772760.0
Aaron Nesmith,IND,11000000.0,11000000.0,19418000.0,20971440.0,,,62389440.0
Luke Kornet,SAS,11000000.0,10450000.0,9900000.0,9350000.0,,,24000000.0
Isaac Okoro,CHI,11000000.0,11814814.0,,,,,22814814.0
Luke Kennard,LAL,11000000.0,,,,,,11000000.0
Maxi Kleber,LAL,11000000.0,,,,,,11000000.0
